layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.30.self_attn.v_proj.weight,3.8398,3.1676,0.6723,101.2923,"[5.5832905769348145, 5.424111366271973, 4.816628456115723, 4.536468029022217, 4.37139368057251]","[3.746246576309204, 3.428694009780884, 3.098160982131958, 3.017002820968628, 3.001616954803467]","[1.8370440006256104, 1.9954173564910889, 1.7184674739837646, 1.5194652080535889, 1.369776725769043]"
model.layers.30.self_attn.o_proj.weight,3.0679,2.9674,0.1005,106.1815,"[32.360816955566406, 8.595734596252441, 6.201247692108154, 5.405636310577393, 5.189992904663086]","[6.8602495193481445, 4.195065021514893, 4.039863109588623, 3.2160000801086426, 3.1781084537506104]","[25.500568389892578, 4.400669574737549, 2.1613845825195312, 2.18963623046875, 2.0118844509124756]"
model.layers.30.mlp.up_proj.weight,3.4604,2.623,0.8374,258.3789,"[26.50997543334961, 15.364603996276855, 13.26411247253418, 12.148553848266602, 11.599977493286133]","[19.936725616455078, 13.044662475585938, 6.810815334320068, 6.232558250427246, 5.762105941772461]","[6.573249816894531, 2.319941520690918, 6.453297138214111, 5.9159955978393555, 5.837871551513672]"
model.layers.30.mlp.down_proj.weight,3.0766,2.1431,0.9335,252.0999,"[22.117504119873047, 15.473891258239746, 13.62472915649414, 12.39458179473877, 12.200023651123047]","[4.523589134216309, 4.440859794616699, 4.36545991897583, 4.252890586853027, 4.178102970123291]","[17.593914031982422, 11.033031463623047, 9.259269714355469, 8.141691207885742, 8.021921157836914]"
model.layers.31.self_attn.q_proj.weight,2.7198,3.049,-0.3292,105.4713,"[8.560160636901855, 8.126626968383789, 7.366430282592773, 6.862818717956543, 6.584324836730957]","[15.025938987731934, 8.390928268432617, 7.652870178222656, 7.420168399810791, 7.206326484680176]","[-6.465778350830078, -0.2643013000488281, -0.2864398956298828, -0.557349681854248, -0.6220016479492188]"
model.layers.31.self_attn.k_proj.weight,2.265,3.3816,-1.1166,104.5189,"[10.413272857666016, 7.8183770179748535, 6.977991104125977, 6.3438720703125, 5.794439792633057]","[16.384124755859375, 8.344411849975586, 8.169801712036133, 7.5712385177612305, 7.156868934631348]","[-5.970851898193359, -0.5260348320007324, -1.1918106079101562, -1.2273664474487305, -1.362429141998291]"
model.layers.31.self_attn.v_proj.weight,3.8706,3.2615,0.609,95.1462,"[5.7737932205200195, 5.185013294219971, 4.936694145202637, 4.645797252655029, 4.3842692375183105]","[4.009765625, 3.8499104976654053, 3.5764970779418945, 3.276116132736206, 3.2490792274475098]","[1.7640275955200195, 1.3351027965545654, 1.3601970672607422, 1.3696811199188232, 1.1351900100708008]"
model.layers.31.self_attn.o_proj.weight,2.7257,2.0635,0.6622,101.7249,"[35.83130645751953, 7.55897331237793, 5.981812000274658, 5.441908836364746, 4.5144362449646]","[10.568909645080566, 6.714575290679932, 5.546021461486816, 5.457415580749512, 4.308050155639648]","[25.26239776611328, 0.844398021697998, 0.4357905387878418, -0.015506744384765625, 0.20638608932495117]"
model.layers.31.mlp.up_proj.weight,2.7688,2.7779,-0.0092,152.2162,"[6.47149658203125, 6.042194843292236, 5.452945232391357, 5.026398658752441, 4.273799419403076]","[19.94043731689453, 12.796332359313965, 10.364392280578613, 8.58923625946045, 8.057920455932617]","[-13.468940734863281, -6.7541375160217285, -4.911447048187256, -3.562837600708008, -3.784121036529541]"
model.layers.31.mlp.down_proj.weight,2.4699,1.847,0.623,149.8224,"[26.126434326171875, 11.298138618469238, 7.9082536697387695, 6.856630325317383, 6.472290515899658]","[7.831622123718262, 6.505268573760986, 6.020726680755615, 5.859059810638428, 5.391216278076172]","[18.294811248779297, 4.792870044708252, 1.8875269889831543, 0.9975705146789551, 1.0810742378234863]"
