layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.30.self_attn.v_proj.weight,3.1449,3.1676,-0.0227,15.8152,"[3.353135108947754, 3.0694875717163086, 2.7704434394836426, 2.720155954360962, 2.6959023475646973]","[3.746246576309204, 3.428694009780884, 3.098160982131958, 3.017002820968628, 3.001616954803467]","[-0.3931114673614502, -0.3592064380645752, -0.32771754264831543, -0.296846866607666, -0.30571460723876953]"
model.layers.30.self_attn.o_proj.weight,2.9517,2.9674,-0.0157,14.3584,"[6.55419921875, 3.8134944438934326, 3.728139877319336, 2.97059965133667, 2.9402194023132324]","[6.8602495193481445, 4.195065021514893, 4.039863109588623, 3.2160000801086426, 3.1781084537506104]","[-0.30605030059814453, -0.38157057762145996, -0.3117232322692871, -0.24540042877197266, -0.23788905143737793]"
model.layers.30.mlp.up_proj.weight,2.7551,2.623,0.1321,23.8857,"[18.518997192382812, 11.854193687438965, 6.137296676635742, 5.597964286804199, 5.158438682556152]","[19.936725616455078, 13.044662475585938, 6.810815334320068, 6.232558250427246, 5.762105941772461]","[-1.4177284240722656, -1.1904687881469727, -0.6735186576843262, -0.6345939636230469, -0.6036672592163086]"
model.layers.30.mlp.down_proj.weight,2.0625,2.1431,-0.0807,24.9188,"[4.09161901473999, 3.9595861434936523, 3.8514339923858643, 3.7969419956207275, 3.7322802543640137]","[4.523589134216309, 4.440859794616699, 4.36545991897583, 4.252890586853027, 4.178102970123291]","[-0.43197011947631836, -0.4812736511230469, -0.5140259265899658, -0.4559485912322998, -0.44582271575927734]"
model.layers.31.self_attn.q_proj.weight,3.049,3.049,0.0,0.827,"[15.030229568481445, 8.386945724487305, 7.650876998901367, 7.420571804046631, 7.206597328186035]","[15.025938987731934, 8.390928268432617, 7.652870178222656, 7.420168399810791, 7.206326484680176]","[0.004290580749511719, -0.0039825439453125, -0.0019931793212890625, 0.00040340423583984375, 0.000270843505859375]"
model.layers.31.self_attn.k_proj.weight,3.3817,3.3816,0.0,0.8606,"[16.373300552368164, 8.349807739257812, 8.174134254455566, 7.572291374206543, 7.155433654785156]","[16.384124755859375, 8.344411849975586, 8.169801712036133, 7.5712385177612305, 7.156868934631348]","[-0.010824203491210938, 0.0053958892822265625, 0.004332542419433594, 0.0010528564453125, -0.0014352798461914062]"
model.layers.31.self_attn.v_proj.weight,3.2555,3.2615,-0.0061,14.4557,"[3.5717475414276123, 3.432001829147339, 3.2019777297973633, 2.9359383583068848, 2.909377336502075]","[4.009765625, 3.8499104976654053, 3.5764970779418945, 3.276116132736206, 3.2490792274475098]","[-0.4380180835723877, -0.4179086685180664, -0.37451934814453125, -0.3401777744293213, -0.33970189094543457]"
model.layers.31.self_attn.o_proj.weight,2.1571,2.0635,0.0935,13.3194,"[10.209928512573242, 6.506786346435547, 5.2414445877075195, 5.045196056365967, 4.070067882537842]","[10.568909645080566, 6.714575290679932, 5.546021461486816, 5.457415580749512, 4.308050155639648]","[-0.3589811325073242, -0.20778894424438477, -0.3045768737792969, -0.4122195243835449, -0.23798227310180664]"
model.layers.31.mlp.up_proj.weight,2.887,2.7779,0.1091,24.6622,"[18.21949005126953, 11.630980491638184, 9.362648010253906, 7.799898147583008, 7.2274580001831055]","[19.94043731689453, 12.796332359313965, 10.364392280578613, 8.58923625946045, 8.057920455932617]","[-1.720947265625, -1.1653518676757812, -1.001744270324707, -0.7893381118774414, -0.8304624557495117]"
model.layers.31.mlp.down_proj.weight,1.8206,1.847,-0.0263,25.8457,"[7.137058734893799, 5.955300331115723, 5.466414928436279, 5.33087682723999, 4.897361755371094]","[7.831622123718262, 6.505268573760986, 6.020726680755615, 5.859059810638428, 5.391216278076172]","[-0.6945633888244629, -0.5499682426452637, -0.5543117523193359, -0.5281829833984375, -0.4938545227050781]"
