layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.30.self_attn.v_proj.weight,3.9575,3.9048,0.0528,6.5496,"[2.1055715084075928, 2.090120792388916, 2.068873882293701, 2.0674798488616943, 2.0368523597717285]","[2.3387398719787598, 2.2727482318878174, 2.2558794021606445, 2.2355213165283203, 2.2156436443328857]","[-0.233168363571167, -0.18262743949890137, -0.18700551986694336, -0.16804146766662598, -0.17879128456115723]"
model.layers.30.self_attn.o_proj.weight,3.2163,3.3116,-0.0953,9.1804,"[4.095719814300537, 2.6491482257843018, 2.543452501296997, 2.350005865097046, 2.2718639373779297]","[4.2673444747924805, 2.8786122798919678, 2.774494171142578, 2.53609299659729, 2.461473226547241]","[-0.17162466049194336, -0.22946405410766602, -0.23104166984558105, -0.18608713150024414, -0.18960928916931152]"
model.layers.30.mlp.up_proj.weight,3.1887,2.8907,0.298,16.5062,"[8.57711410522461, 4.825874328613281, 3.8828279972076416, 3.3537018299102783, 2.9937357902526855]","[9.608649253845215, 5.405621528625488, 4.315546035766602, 3.7415072917938232, 3.321660280227661]","[-1.0315351486206055, -0.579747200012207, -0.43271803855895996, -0.3878054618835449, -0.3279244899749756]"
model.layers.30.mlp.down_proj.weight,2.7325,2.6991,0.0334,17.2696,"[2.926783323287964, 2.6385936737060547, 2.6316328048706055, 2.4906880855560303, 2.4282987117767334]","[3.2138254642486572, 3.0140891075134277, 2.891251564025879, 2.7822439670562744, 2.7052695751190186]","[-0.28704214096069336, -0.37549543380737305, -0.25961875915527344, -0.29155588150024414, -0.27697086334228516]"
model.layers.31.self_attn.q_proj.weight,3.0766,3.0763,0.0003,1.2167,"[12.286869049072266, 6.161098003387451, 5.623493671417236, 5.451035499572754, 5.177806854248047]","[12.26970386505127, 6.162508964538574, 5.619677543640137, 5.45033597946167, 5.176234722137451]","[0.017165184020996094, -0.0014109611511230469, 0.0038161277770996094, 0.0006995201110839844, 0.0015721321105957031]"
model.layers.31.self_attn.k_proj.weight,3.267,3.2666,0.0004,0.6017,"[8.386703491210938, 4.720093727111816, 4.618882179260254, 4.291885852813721, 4.092983245849609]","[8.365145683288574, 4.7172112464904785, 4.618403434753418, 4.287688732147217, 4.0839738845825195]","[0.02155780792236328, 0.0028824806213378906, 0.0004787445068359375, 0.004197120666503906, 0.009009361267089844]"
model.layers.31.self_attn.v_proj.weight,3.4976,3.5042,-0.0066,5.7597,"[2.155597686767578, 1.738992691040039, 1.6529216766357422, 1.6416125297546387, 1.623128890991211]","[2.3329758644104004, 1.9626867771148682, 1.7962474822998047, 1.7831212282180786, 1.7591233253479004]","[-0.17737817764282227, -0.2236940860748291, -0.1433258056640625, -0.14150869846343994, -0.13599443435668945]"
model.layers.31.self_attn.o_proj.weight,2.8929,2.8189,0.074,9.1392,"[2.990143299102783, 2.6360268592834473, 2.505643606185913, 2.4895856380462646, 2.2739481925964355]","[3.2643682956695557, 2.8854386806488037, 2.7527542114257812, 2.7439188957214355, 2.4726011753082275]","[-0.27422499656677246, -0.24941182136535645, -0.24711060523986816, -0.2543332576751709, -0.198652982711792]"
model.layers.31.mlp.up_proj.weight,2.9617,2.7047,0.2569,19.0866,"[15.687433242797852, 8.787068367004395, 7.250740051269531, 6.051270961761475, 5.379497051239014]","[17.349397659301758, 9.68530559539795, 7.906888008117676, 6.724607944488525, 5.997474670410156]","[-1.6619644165039062, -0.8982372283935547, -0.6561479568481445, -0.6733369827270508, -0.6179776191711426]"
model.layers.31.mlp.down_proj.weight,2.5534,2.6031,-0.0497,18.6956,"[3.375373125076294, 3.1113088130950928, 3.0505001544952393, 2.9279391765594482, 2.819443941116333]","[3.7212324142456055, 3.4009320735931396, 3.3713490962982178, 3.2211694717407227, 3.1052799224853516]","[-0.3458592891693115, -0.2896232604980469, -0.3208489418029785, -0.2932302951812744, -0.28583598136901855]"
