layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.28.self_attn.q_proj.weight,2.8048,2.8048,-0.0,0.4478,"[12.767723083496094, 6.843409061431885, 5.89394998550415, 5.492634296417236, 5.44059944152832]","[12.76785945892334, 6.844803333282471, 5.894693374633789, 5.490568161010742, 5.439569473266602]","[-0.00013637542724609375, -0.0013942718505859375, -0.0007433891296386719, 0.0020661354064941406, 0.00102996826171875]"
model.layers.28.self_attn.v_proj.weight,4.2089,4.1777,0.0312,18.0175,"[3.198134660720825, 2.7541439533233643, 2.745246648788452, 2.6626548767089844, 2.6353225708007812]","[3.6919076442718506, 3.1678757667541504, 3.154440402984619, 3.0594990253448486, 3.034687042236328]","[-0.4937729835510254, -0.41373181343078613, -0.409193754196167, -0.39684414863586426, -0.3993644714355469]"
model.layers.29.mlp.down_proj.weight,2.5316,2.6057,-0.0741,26.7841,"[3.856720209121704, 3.8047804832458496, 3.729846239089966, 3.6592824459075928, 3.6198551654815674]","[4.425778865814209, 4.37374210357666, 4.255818843841553, 4.212619781494141, 4.14732551574707]","[-0.5690586566925049, -0.5689616203308105, -0.5259726047515869, -0.5533373355865479, -0.5274703502655029]"
model.layers.29.mlp.up_proj.weight,2.9367,2.9538,-0.0171,27.6894,"[9.833870887756348, 6.282779216766357, 4.724713325500488, 4.334316730499268, 4.264090061187744]","[11.307735443115234, 7.054968357086182, 5.438374042510986, 5.013462543487549, 4.923252105712891]","[-1.4738645553588867, -0.7721891403198242, -0.713660717010498, -0.6791458129882812, -0.6591620445251465]"
model.layers.29.self_attn.k_proj.weight,3.4814,3.4814,0.0,0.4393,"[14.178119659423828, 6.8448920249938965, 6.334373474121094, 6.172460556030273, 5.854177474975586]","[14.180398941040039, 6.843919277191162, 6.334105014801025, 6.172571659088135, 5.853843688964844]","[-0.0022792816162109375, 0.000972747802734375, 0.0002684593200683594, -0.00011110305786132812, 0.0003337860107421875]"
model.layers.29.self_attn.o_proj.weight,3.1063,2.8803,0.2261,15.7165,"[6.147007465362549, 3.6930601596832275, 3.6448557376861572, 3.3657257556915283, 3.139512062072754]","[6.856410026550293, 4.110736846923828, 4.048551082611084, 3.753875970840454, 3.475402355194092]","[-0.7094025611877441, -0.4176766872406006, -0.40369534492492676, -0.3881502151489258, -0.3358902931213379]"
model.layers.29.self_attn.q_proj.weight,2.6678,2.6678,0.0,0.4638,"[13.282471656799316, 7.754252910614014, 7.124276638031006, 6.678497314453125, 6.2235107421875]","[13.283495903015137, 7.752747535705566, 7.124421119689941, 6.678736209869385, 6.223133087158203]","[-0.0010242462158203125, 0.0015053749084472656, -0.00014448165893554688, -0.00023889541625976562, 0.000377655029296875]"
model.layers.29.self_attn.v_proj.weight,4.4179,4.4405,-0.0226,18.0562,"[4.127022743225098, 2.9284842014312744, 2.8338122367858887, 2.808588981628418, 2.768247365951538]","[4.772663593292236, 3.3667964935302734, 3.2628402709960938, 3.2358953952789307, 3.1826741695404053]","[-0.6456408500671387, -0.438312292098999, -0.4290280342102051, -0.4273064136505127, -0.4144268035888672]"
model.layers.30.mlp.down_proj.weight,2.0528,2.1431,-0.0903,25.9878,"[4.032887935638428, 3.8883919715881348, 3.804640054702759, 3.749673366546631, 3.695758819580078]","[4.523589134216309, 4.440859794616699, 4.36545991897583, 4.252890586853027, 4.178102970123291]","[-0.49070119857788086, -0.5524678230285645, -0.5608198642730713, -0.5032172203063965, -0.4823441505432129]"
model.layers.30.mlp.up_proj.weight,2.5661,2.623,-0.0569,28.0102,"[17.19382667541504, 11.350068092346191, 5.931299686431885, 5.4101762771606445, 4.996675491333008]","[19.936725616455078, 13.044662475585938, 6.810815334320068, 6.232558250427246, 5.762105941772461]","[-2.742898941040039, -1.694594383239746, -0.8795156478881836, -0.8223819732666016, -0.7654304504394531]"
model.layers.30.self_attn.k_proj.weight,3.4723,3.4723,0.0,0.5015,"[13.799728393554688, 6.4577155113220215, 6.04736328125, 5.679623603820801, 5.559401035308838]","[13.799638748168945, 6.458836555480957, 6.046721935272217, 5.680503845214844, 5.560955047607422]","[8.96453857421875e-05, -0.0011210441589355469, 0.0006413459777832031, -0.0008802413940429688, -0.0015540122985839844]"
model.layers.30.self_attn.o_proj.weight,3.3324,2.9674,0.3651,15.7883,"[6.110808372497559, 3.7489380836486816, 3.6563143730163574, 2.9140548706054688, 2.8855607509613037]","[6.8602495193481445, 4.195065021514893, 4.039863109588623, 3.2160000801086426, 3.1781084537506104]","[-0.7494411468505859, -0.44612693786621094, -0.3835487365722656, -0.30194520950317383, -0.29254770278930664]"
