layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.6.self_attn.q_proj.weight,3.0776,3.0776,0.0,1.1316,"[12.285008430480957, 8.25399398803711, 8.054186820983887, 7.78027868270874, 7.54045295715332]","[12.298480987548828, 8.25008773803711, 8.055127143859863, 7.779787540435791, 7.53844690322876]","[-0.013472557067871094, 0.00390625, -0.0009403228759765625, 0.0004911422729492188, 0.002006053924560547]"
model.layers.6.self_attn.v_proj.weight,3.1168,3.243,-0.1263,12.092,"[2.603485107421875, 2.5648813247680664, 2.5018699169158936, 2.4131274223327637, 2.371744394302368]","[3.002666711807251, 2.954827308654785, 2.878331184387207, 2.7829442024230957, 2.7349390983581543]","[-0.399181604385376, -0.38994598388671875, -0.3764612674713135, -0.36981678009033203, -0.36319470405578613]"
model.layers.7.mlp.down_proj.weight,2.4913,2.4134,0.0778,25.4015,"[5.905150413513184, 4.549519062042236, 4.386483192443848, 4.240604400634766, 4.1785688400268555]","[6.739206314086914, 5.309669017791748, 5.083014965057373, 4.896955966949463, 4.823046684265137]","[-0.8340559005737305, -0.7601499557495117, -0.6965317726135254, -0.6563515663146973, -0.6444778442382812]"
model.layers.7.mlp.up_proj.weight,3.162,3.2862,-0.1242,25.5073,"[4.336258411407471, 3.7195708751678467, 3.7027194499969482, 3.5975403785705566, 3.489365339279175]","[4.984389305114746, 4.28666877746582, 4.274417877197266, 4.151672840118408, 4.02376651763916]","[-0.6481308937072754, -0.5670979022979736, -0.5716984272003174, -0.5541324615478516, -0.5344011783599854]"
model.layers.7.self_attn.k_proj.weight,3.8149,3.8149,0.0,0.7954,"[13.677678108215332, 7.527749538421631, 7.1934332847595215, 6.969069480895996, 6.851773738861084]","[13.683859825134277, 7.527039051055908, 7.193602085113525, 6.968090057373047, 6.85049295425415]","[-0.0061817169189453125, 0.0007104873657226562, -0.00016880035400390625, 0.0009794235229492188, 0.0012807846069335938]"
model.layers.7.self_attn.o_proj.weight,2.9743,2.7003,0.2741,10.8841,"[4.8080153465271, 2.3880391120910645, 2.3829808235168457, 2.355341672897339, 2.3316733837127686]","[5.457272052764893, 2.722898244857788, 2.704348564147949, 2.6698219776153564, 2.655726671218872]","[-0.649256706237793, -0.33485913276672363, -0.3213677406311035, -0.3144803047180176, -0.3240532875061035]"
model.layers.7.self_attn.q_proj.weight,2.973,2.973,0.0,0.8421,"[11.767074584960938, 7.727202892303467, 7.5657854080200195, 7.4224419593811035, 7.304818153381348]","[11.76846694946289, 7.7274909019470215, 7.565080165863037, 7.42246150970459, 7.304207801818848]","[-0.001392364501953125, -0.0002880096435546875, 0.0007052421569824219, -1.9550323486328125e-05, 0.0006103515625]"
model.layers.7.self_attn.v_proj.weight,3.3836,3.4804,-0.0968,12.235,"[2.7205631732940674, 2.6494028568267822, 2.5984747409820557, 2.5235800743103027, 2.495361804962158]","[3.139066457748413, 3.0578668117523193, 3.0016672611236572, 2.9179773330688477, 2.8811049461364746]","[-0.4185032844543457, -0.4084639549255371, -0.40319252014160156, -0.3943972587585449, -0.3857431411743164]"
model.layers.8.mlp.down_proj.weight,2.4897,2.4818,0.0079,25.671,"[6.220399379730225, 4.759519577026367, 4.631795883178711, 4.385985374450684, 4.312098503112793]","[7.060693264007568, 5.5698018074035645, 5.368368148803711, 5.062071800231934, 4.98372745513916]","[-0.8402938842773438, -0.8102822303771973, -0.736572265625, -0.67608642578125, -0.6716289520263672]"
model.layers.8.mlp.up_proj.weight,2.729,2.8502,-0.1212,25.8077,"[4.681672096252441, 4.038737773895264, 3.9345858097076416, 3.8388779163360596, 3.826923131942749]","[5.374168872833252, 4.663698196411133, 4.5443434715271, 4.430602550506592, 4.416763782501221]","[-0.6924967765808105, -0.6249604225158691, -0.609757661819458, -0.5917246341705322, -0.5898406505584717]"
