layer,entropy_model1,entropy_model2,delta_entropy,frobenius_norm_diff,svd_model1,svd_model2,delta_svd
model.layers.28.mlp.up_proj.weight,3.3809,3.4222,-0.0413,247.6236,"[12.815211296081543, 10.073420524597168, 9.799304008483887, 9.667479515075684, 9.0369291305542]","[9.043734550476074, 4.947851657867432, 4.572228908538818, 4.350813865661621, 4.215463638305664]","[3.7714767456054688, 5.125568866729736, 5.227075099945068, 5.3166656494140625, 4.821465492248535]"
model.layers.28.mlp.down_proj.weight,3.7781,2.5478,1.2303,278.8638,"[15.919594764709473, 11.421360969543457, 10.935930252075195, 10.508612632751465, 10.122482299804688]","[4.941646099090576, 4.883847713470459, 4.811708450317383, 4.707464694976807, 4.533688068389893]","[10.977949142456055, 6.537513256072998, 6.1242218017578125, 5.801147937774658, 5.588794231414795]"
model.layers.29.self_attn.q_proj.weight,2.9281,2.6678,0.2603,106.9982,"[10.34689712524414, 7.418964862823486, 6.664956092834473, 6.208741188049316, 5.935790061950684]","[13.283495903015137, 7.752747535705566, 7.124421119689941, 6.678736209869385, 6.223133087158203]","[-2.936598777770996, -0.3337826728820801, -0.45946502685546875, -0.46999502182006836, -0.28734302520751953]"
model.layers.29.self_attn.k_proj.weight,3.0489,3.4814,-0.4325,105.3596,"[9.197895050048828, 8.405835151672363, 5.9738054275512695, 5.250767230987549, 4.895403861999512]","[14.180398941040039, 6.843919277191162, 6.334105014801025, 6.172571659088135, 5.853843688964844]","[-4.982503890991211, 1.5619158744812012, -0.36029958724975586, -0.9218044281005859, -0.958439826965332]"
model.layers.29.self_attn.v_proj.weight,3.5484,4.4405,-0.8921,117.094,"[7.012995719909668, 5.505033016204834, 5.292404651641846, 5.269016742706299, 5.220302581787109]","[4.772663593292236, 3.3667964935302734, 3.2628402709960938, 3.2358953952789307, 3.1826741695404053]","[2.2403321266174316, 2.1382365226745605, 2.029564380645752, 2.033121347427368, 2.037628412246704]"
model.layers.29.self_attn.o_proj.weight,4.0518,2.8803,1.1716,115.9145,"[7.6310296058654785, 5.684715747833252, 5.150883197784424, 5.054666996002197, 4.9957194328308105]","[6.856410026550293, 4.110736846923828, 4.048551082611084, 3.753875970840454, 3.475402355194092]","[0.7746195793151855, 1.5739789009094238, 1.1023321151733398, 1.3007910251617432, 1.5203170776367188]"
model.layers.29.mlp.up_proj.weight,3.4254,2.9538,0.4716,253.528,"[15.98367977142334, 11.994807243347168, 9.873849868774414, 9.6383638381958, 9.622523307800293]","[11.307735443115234, 7.054968357086182, 5.438374042510986, 5.013462543487549, 4.923252105712891]","[4.6759443283081055, 4.939838886260986, 4.435475826263428, 4.624901294708252, 4.699271202087402]"
model.layers.29.mlp.down_proj.weight,3.2835,2.6057,0.6778,273.3513,"[20.918359756469727, 11.891325950622559, 11.123154640197754, 10.794800758361816, 10.54406452178955]","[4.425778865814209, 4.37374210357666, 4.255818843841553, 4.212619781494141, 4.14732551574707]","[16.49258041381836, 7.517583847045898, 6.867335796356201, 6.582180976867676, 6.3967390060424805]"
model.layers.30.self_attn.q_proj.weight,2.928,2.6716,0.2564,98.7463,"[6.674681186676025, 5.43971586227417, 4.739614009857178, 4.562735557556152, 4.325896263122559]","[13.096343994140625, 8.353127479553223, 6.742967128753662, 6.209589958190918, 6.053638458251953]","[-6.4216628074646, -2.9134116172790527, -2.0033531188964844, -1.6468544006347656, -1.7277421951293945]"
model.layers.30.self_attn.k_proj.weight,3.3334,3.4723,-0.1389,99.125,"[7.870330333709717, 4.7708587646484375, 3.8223466873168945, 3.4383926391601562, 3.2193334102630615]","[13.799638748168945, 6.458836555480957, 6.046721935272217, 5.680503845214844, 5.560955047607422]","[-5.9293084144592285, -1.6879777908325195, -2.2243752479553223, -2.2421112060546875, -2.3416216373443604]"
model.layers.30.self_attn.v_proj.weight,3.8398,3.1676,0.6723,101.2923,"[5.5832905769348145, 5.424111366271973, 4.816628456115723, 4.536468029022217, 4.37139368057251]","[3.746246576309204, 3.428694009780884, 3.098160982131958, 3.017002820968628, 3.001616954803467]","[1.8370440006256104, 1.9954173564910889, 1.7184674739837646, 1.5194652080535889, 1.369776725769043]"
model.layers.30.self_attn.o_proj.weight,3.0679,2.9674,0.1005,106.1815,"[32.360816955566406, 8.595734596252441, 6.201247692108154, 5.405636310577393, 5.189992904663086]","[6.8602495193481445, 4.195065021514893, 4.039863109588623, 3.2160000801086426, 3.1781084537506104]","[25.500568389892578, 4.400669574737549, 2.1613845825195312, 2.18963623046875, 2.0118844509124756]"
model.layers.30.mlp.up_proj.weight,3.4604,2.623,0.8374,258.3789,"[26.50997543334961, 15.364603996276855, 13.26411247253418, 12.148553848266602, 11.599977493286133]","[19.936725616455078, 13.044662475585938, 6.810815334320068, 6.232558250427246, 5.762105941772461]","[6.573249816894531, 2.319941520690918, 6.453297138214111, 5.9159955978393555, 5.837871551513672]"
model.layers.30.mlp.down_proj.weight,3.0766,2.1431,0.9335,252.0999,"[22.117504119873047, 15.473891258239746, 13.62472915649414, 12.39458179473877, 12.200023651123047]","[4.523589134216309, 4.440859794616699, 4.36545991897583, 4.252890586853027, 4.178102970123291]","[17.593914031982422, 11.033031463623047, 9.259269714355469, 8.141691207885742, 8.021921157836914]"
model.layers.31.self_attn.q_proj.weight,2.7198,3.049,-0.3292,105.4713,"[8.560160636901855, 8.126626968383789, 7.366430282592773, 6.862818717956543, 6.584324836730957]","[15.025938987731934, 8.390928268432617, 7.652870178222656, 7.420168399810791, 7.206326484680176]","[-6.465778350830078, -0.2643013000488281, -0.2864398956298828, -0.557349681854248, -0.6220016479492188]"
model.layers.31.self_attn.k_proj.weight,2.265,3.3816,-1.1166,104.5189,"[10.413272857666016, 7.8183770179748535, 6.977991104125977, 6.3438720703125, 5.794439792633057]","[16.384124755859375, 8.344411849975586, 8.169801712036133, 7.5712385177612305, 7.156868934631348]","[-5.970851898193359, -0.5260348320007324, -1.1918106079101562, -1.2273664474487305, -1.362429141998291]"
model.layers.31.self_attn.v_proj.weight,3.8706,3.2615,0.609,95.1462,"[5.7737932205200195, 5.185013294219971, 4.936694145202637, 4.645797252655029, 4.3842692375183105]","[4.009765625, 3.8499104976654053, 3.5764970779418945, 3.276116132736206, 3.2490792274475098]","[1.7640275955200195, 1.3351027965545654, 1.3601970672607422, 1.3696811199188232, 1.1351900100708008]"
